Date,Open,High,Low,Close,Adj Close
1993/7/8,44.375,44.9375,44.3125,44.84375,27.159624
1993/7/9,44.84375,44.96875,44.75,44.96875,27.235321
1993/7/12,44.90625,44.96875,44.84375,44.9375,27.2164
1993/7/13,44.96875,45.09375,44.65625,44.90625,27.19747
1993/7/14,44.9375,45.1875,44.90625,45.0625,27.292105
1993/7/15,45.03125,45.03125,44.78125,44.875,27.178558
1993/7/16,44.90625,44.9375,44.6875,44.75,27.102844
1993/7/19,44.75,44.75,44.59375,44.71875,27.08391
1993/7/20,44.6875,44.84375,44.46875,44.84375,27.159624
1993/7/21,44.78125,44.8125,44.65625,44.8125,27.140688
1993/7/22,44.75,44.8125,44.5,44.5,26.95145
1993/7/23,44.59375,44.71875,44.5625,44.71875,27.08391
1993/7/26,44.84375,45.0625,44.84375,44.96875,27.235321
1993/7/27,45,45.03125,44.78125,44.9375,27.2164
1993/7/28,44.84375,44.9375,44.78125,44.84375,27.159624
1993/7/29,44.9375,45.21875,44.875,45.09375,27.311049
1993/7/30,45.09375,45.09375,44.78125,44.84375,27.159624
1993/8/2,44.90625,45.125,44.90625,44.96875,27.235321
1993/8/3,45.0625,45.1875,44.84375,45,27.254253
1993/8/4,45,45.09375,44.875,45,27.254253
1993/8/5,45,45,44.84375,44.90625,27.19747
1993/8/6,45.03125,45.0625,44.90625,44.96875,27.235321
1993/8/9,45.09375,45.34375,45,45.21875,27.386745
1993/8/10,45.1875,45.21875,45.125,45.1875,27.367802
1993/8/11,45.15625,45.3125,45.15625,45.1875,27.367802
1993/8/12,45.3125,45.3125,44.90625,45.0625,27.292105
1993/8/13,45.09375,45.15625,45.09375,45.125,27.32995
1993/8/16,45.15625,45.5,45.15625,45.375,27.481369
1993/8/17,45.34375,45.53125,45.34375,45.53125,27.576014
1993/8/18,45.6875,45.875,45.65625,45.78125,27.727409
1993/8/19,45.8125,45.8125,45.71875,45.78125,27.727409
1993/8/20,45.6875,45.8125,45.65625,45.8125,27.746349
1993/8/23,45.625,45.75,45.625,45.71875,27.68955
1993/8/24,45.71875,46.21875,45.71875,46.21875,27.992378
1993/8/25,46.21875,46.4375,46.15625,46.25,28.011311
1993/8/26,46.28125,46.53125,46.09375,46.28125,28.030224
1993/8/27,46.15625,46.25,46.15625,46.25,28.011311
1993/8/30,46.28125,46.5,46.28125,46.4375,28.124884
1993/8/31,46.40625,46.5625,46.34375,46.5625,28.200592
1993/9/1,46.40625,46.59375,46.40625,46.5,28.162729
1993/9/2,46.53125,46.59375,46.3125,46.34375,28.0681
1993/9/3,46.3125,46.4375,46.25,46.375,28.087009
1993/9/7,46.375,46.4375,46,46.0625,27.897758
1993/9/8,46.0625,46.0625,45.59375,45.90625,27.803139
1993/9/9,45.71875,46.03125,45.71875,46,27.859911
1993/9/10,46.125,46.4375,46.0625,46.40625,28.105949
1993/9/13,46.5625,46.5625,46.4375,46.4375,28.124884
1993/9/14,46.3125,46.3125,46.09375,46.25,28.011311
1993/9/15,46.0625,46.40625,45.90625,46.375,28.087009
1993/9/16,46.3125,46.34375,46.15625,46.1875,27.973475
1993/9/17,45.875,45.90625,45.75,45.8125,27.91922
1993/9/20,45.875,45.96875,45.4375,45.4375,27.690691
1993/9/21,45.5,45.5625,44.8125,45.28125,27.595467
1993/9/22,45.4375,45.71875,45.375,45.65625,27.824009
1993/9/23,45.78125,45.9375,45.71875,45.90625,27.976372
1993/9/24,45.84375,45.875,45.71875,45.78125,27.90019
1993/9/27,46.125,46.28125,46.125,46.28125,28.204903
1993/9/28,46.3125,46.3125,46.15625,46.1875,28.147768
1993/9/29,46.1875,46.3125,45.96875,46.03125,28.052542
1993/9/30,46.03125,46.125,45.84375,45.9375,27.99539
1993/10/1,45.875,46.21875,45.8125,46.15625,28.128716
1993/10/4,46.21875,46.21875,46.09375,46.21875,28.166813
1993/10/5,46.3125,46.3125,46,46.15625,28.128716
1993/10/6,46.1875,46.375,46.125,46.125,28.109667
1993/10/7,46.1875,46.1875,45.96875,46,28.033489
1993/10/8,46.125,46.15625,45.71875,46.0625,28.071579
1993/10/11,46.15625,46.25,46.15625,46.15625,28.128716
1993/10/12,46.21875,46.25,46.1875,46.21875,28.166813
1993/10/13,46.25,46.25,46.15625,46.21875,28.166813
1993/10/14,46.40625,46.8125,46.28125,46.8125,28.528648
1993/10/15,47.03125,47.15625,46.90625,47.0625,28.681004
1993/10/18,47.03125,47.03125,46.875,46.9375,28.604834
1993/10/19,46.875,46.96875,46.59375,46.59375,28.395338
1993/10/20,46.75,46.75,46.5625,46.65625,28.433422
1993/10/21,46.6875,46.6875,46.53125,46.59375,28.395338
1993/10/22,46.65625,46.84375,46.375,46.375,28.262026
1993/10/25,46.40625,46.5625,46.28125,46.5,28.338192
1993/10/26,46.46875,46.5,46.3125,46.46875,28.319157
1993/10/27,46.40625,46.53125,46.40625,46.5,28.338192
1993/10/28,46.5625,46.96875,46.5625,46.84375,28.547701
1993/10/29,46.8125,46.875,46.78125,46.84375,28.547701
1993/11/1,46.78125,47,46.78125,46.96875,28.623861
1993/11/2,46.90625,47,46.65625,46.9375,28.604834
1993/11/3,46.90625,46.90625,46.125,46.34375,28.242989
1993/11/4,46.34375,46.34375,45.8125,45.84375,27.938265
1993/11/5,45.71875,46.0625,45.53125,46.0625,28.071579
1993/11/8,46.09375,46.25,45.96875,46.125,28.109667
1993/11/9,46.4375,46.46875,46.125,46.15625,28.128716
1993/11/10,46.15625,46.5,46.03125,46.5,28.338192
1993/11/11,46.5,46.625,46.34375,46.375,28.262026
1993/11/12,46.46875,46.75,46.4375,46.59375,28.395338
1993/11/15,46.6875,46.6875,46.4375,46.5625,28.376299
1993/11/16,46.65625,46.8125,46.46875,46.78125,28.509607
1993/11/17,46.8125,46.8125,46.40625,46.53125,28.357244
